序号,框类型,实体名,中文名,EXPRESS schema,说明链接
1,实体定义框,abs_function,绝对值函数,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
2,实体定义框,absorbed_dose_measure_with_unit,带单位的吸收剂量,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.absorbed_dose_measure_with_unit
3,实体定义框,absorbed_dose_unit,吸收剂量单位,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.absorbed_dose_unit
4,实体定义框,abstracted_expression_function,抽象表达式函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
5,实体定义框,acceleration_measure_with_unit,带单位的加速度,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.acceleration_measure_with_unit
6,实体定义框,acceleration_unit,加速度单位,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.acceleration_unit
7,实体定义框,acos_function,反余弦函数,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
8,实体定义框,action,动作,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action
9,实体定义框,action_assignment,动作赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_assignment
10,实体定义框,action_directive,动作指令,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
11,实体定义框,action_method,动作方法,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method
12,实体定义框,action_method_assignment,动作方法赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_method_assignment
13,实体定义框,action_method_relationship,动作方法关系,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method_relationship
14,实体定义框,action_method_role,动作方法角色,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_method_role
15,实体定义框,action_method_with_associated_documents,带关联文档的动作方法,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
16,实体定义框,action_property,动作属性,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
17,实体定义框,action_property_representation,动作属性表示,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
18,实体定义框,action_relationship,动作关系,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_relationship
