序号,框类型,名称,中文名
1,DEFINED TYPE,absorbed_dose_measure,吸收剂量
2,DEFINED TYPE,acceleration_measure,加速度
3,DEFINED TYPE,amount_of_substance_measure,物质的量
4,DEFINED TYPE,angular_deviation,角度偏差
5,DEFINED TYPE,area_measure,面积量
6,DEFINED TYPE,atom_based_tuple,基于原子的元组
7,DEFINED TYPE,box_height,盒高
8,DEFINED TYPE,box_rotate_angle,盒旋转角
9,DEFINED TYPE,box_slant_angle,盒斜角
10,DEFINED TYPE,box_width,盒宽
11,DEFINED TYPE,capacitance_measure,电容值
12,DEFINED TYPE,celsius_temperature_measure,摄氏温度
13,DEFINED TYPE,chordal_deviation,弦偏差
14,DEFINED TYPE,common_datum_list,公共基准列表
15,DEFINED TYPE,conductance_measure,电导值
16,DEFINED TYPE,context_dependent_measure,上下文相关的量
17,DEFINED TYPE,count_measure,计数量
18,DEFINED TYPE,day_in_month_number,月中的日
19,DEFINED TYPE,day_in_week_number,周中的日
20,DEFINED TYPE,day_in_year_number,年中的日
21,DEFINED TYPE,descriptive_measure,描述性度量
22,DEFINED TYPE,dimension_count,尺寸个数
23,DEFINED TYPE,dose_equivalent_measure,剂量当量
24,DEFINED TYPE,dotted_express_identifier,带点的 EXPRESS 标识符
25,DEFINED TYPE,electric_charge_measure,电荷量
26,DEFINED TYPE,electric_current_measure,电流值
27,DEFINED TYPE,electric_potential_measure,电位值
28,DEFINED TYPE,energy_measure,能量值
29,DEFINED TYPE,force_measure,力值
30,DEFINED TYPE,frequency_measure,频率值
31,DEFINED TYPE,hour_in_day,一天中的小时
32,DEFINED TYPE,identifier,标识符
33,DEFINED TYPE,illuminance_measure,照度值
34,DEFINED TYPE,inductance_measure,电感值
35,DEFINED TYPE,input_selector,输入选择器
36,DEFINED TYPE,label,标签
37,DEFINED TYPE,length_measure,长度量
38,DEFINED TYPE,length_to_height_ratio,长高比
39,DEFINED TYPE,list_of_reversible_topology_item,可逆拓扑项列表
40,DEFINED TYPE,list_representation_item,列表表示项
41,DEFINED TYPE,luminous_flux_measure,光通量值
42,DEFINED TYPE,luminous_intensity_measure,发光强度值
43,DEFINED TYPE,magnetic_flux_density_measure,磁通密度值
44,DEFINED TYPE,magnetic_flux_measure,磁通量值
45,DEFINED TYPE,mass_measure,质量值
46,DEFINED TYPE,maths_binary,数学二进制
47,DEFINED TYPE,maths_boolean,数学布尔
48,DEFINED TYPE,maths_integer,数学整数
49,DEFINED TYPE,maths_logical,数学逻辑
50,DEFINED TYPE,maths_number,数学数
51,DEFINED TYPE,maths_real,数学实数
52,DEFINED TYPE,maths_string,数学字符串
53,DEFINED TYPE,maths_tuple,数学元组
54,DEFINED TYPE,maximum_edge_length,最大边长
55,DEFINED TYPE,message,消息
56,DEFINED TYPE,minute_in_hour,一小时中的分钟
57,DEFINED TYPE,month_in_year_number,年中的月
58,DEFINED TYPE,non_negative_length_measure,非负长度量
59,DEFINED TYPE,nonnegative_integer,非负整数
60,DEFINED TYPE,numeric_measure,数值量
61,DEFINED TYPE,one_or_two,一或二
62,DEFINED TYPE,parameter_value,参数值
63,DEFINED TYPE,plane_angle_measure,平面角度量
64,DEFINED TYPE,positive_integer,正整数
65,DEFINED TYPE,positive_length_measure,正长度量
66,DEFINED TYPE,positive_plane_angle_measure,正平面角度量
67,DEFINED TYPE,positive_ratio_measure,正比值
68,DEFINED TYPE,power_measure,功率值
69,DEFINED TYPE,presentable_text,可呈现文本
70,DEFINED TYPE,pressure_measure,压力值
71,DEFINED TYPE,product_definition_or_reference_or_occurrence,产品定义或引用或实例
72,DEFINED TYPE,radioactivity_measure,放射性活度
73,DEFINED TYPE,ratio_measure,比值
74,DEFINED TYPE,resistance_measure,电阻值
75,DEFINED TYPE,second_in_minute,一分钟中的秒
76,DEFINED TYPE,set_of_reversible_topology_item,可逆拓扑项集合
77,DEFINED TYPE,set_representation_item,集合表示项
78,DEFINED TYPE,solid_angle_measure,立体角量
79,DEFINED TYPE,spline_knot_values,样条节点值
80,DEFINED TYPE,tessellated_facet_long_short_edge_ratio,镶嵌面片长短边比
81,DEFINED TYPE,text,文本
82,DEFINED TYPE,text_alignment,文本对齐
83,DEFINED TYPE,text_delineation,文本轮廓线
84,DEFINED TYPE,thermodynamic_temperature_measure,热力学温度
85,DEFINED TYPE,time_measure,时间值
86,DEFINED TYPE,u_direction_count,U 方向个数
87,DEFINED TYPE,unsigned_8_bit_integer,无符号 8 位整数
88,DEFINED TYPE,v_direction_count,V 方向个数
89,DEFINED TYPE,value_format_type,值格式类型
90,DEFINED TYPE,velocity_measure,速度值
91,DEFINED TYPE,volume_measure,体积量
92,DEFINED TYPE,week_in_year_number,年中的周
93,DEFINED TYPE,year_number,年份
94,DEFINED TYPE,ypr_rotation,YPR 旋转
95,DEFINED TYPE,zero_or_one,零或一
96,SELECT/抽象超类型,action_items,动作项
97,SELECT/抽象超类型,action_method_items,动作方法项
98,SELECT/抽象超类型,action_request_item,动作请求项
99,SELECT/抽象超类型,actuated_direction,受驱动方向
100,SELECT/抽象超类型,ahead_or_behind,前或后
101,SELECT/抽象超类型,angle_relator,角关系词
102,SELECT/抽象超类型,annotation_placeholder_occurrence_role,标注占位符实例角色
103,SELECT/抽象超类型,annotation_plane_element,标注平面元素
104,SELECT/抽象超类型,annotation_representation_select,标注表示选择类型
105,SELECT/抽象超类型,annotation_symbol_occurrence_item,标注符号实例项
