序号,实体名,中文名,工业用途分类,软件模块分类,EXPRESS schema,说明链接
1,abs_function,绝对值函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
2,absorbed_dose_measure_with_unit,带单位的吸收剂量,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.absorbed_dose_measure_with_unit
3,absorbed_dose_unit,吸收剂量单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.absorbed_dose_unit
4,abstracted_expression_function,抽象表达式函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
5,acceleration_measure_with_unit,带单位的加速度,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.acceleration_measure_with_unit
6,acceleration_unit,加速度单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.acceleration_unit
7,acos_function,反余弦函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
8,action,动作,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action
9,action_assignment,动作赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_assignment
10,action_directive,动作指令,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_directive
