中文名,英文名,概念名,模块,来源,引用次数,官方定义链接
自适应控制,Adaptive_control,adaptive_control,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-adaptive_control
空行程策略,Air_strategy,air_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-air_strategy
沿路径,Along_path,along_path,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-along_path
增材制造复合特征,Am_compound_feature,am_compound_feature,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_compound_feature
增材制造构造,Am_construction,am_construction,,ap238,4,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_construction
增材制造特征,Am_feature,am_feature,,ap238,2,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_feature
增材制造梯度特征,Am_gradient_feature,am_gradient_feature,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_gradient_feature
增材制造异质原子,Am_heterogenuous_atom,am_heterogenuous_atom,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_heterogenuous_atom
增材制造异质特征,Am_heterogenuous_feature,am_heterogenuous_feature,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_heterogenuous_feature
增材制造填充,Am_infill,am_infill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_infill
增材制造机床函数,Am_machine_functions,am_machine_functions,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_machine_functions
增材制造一维操作,Am_oned_operation,am_oned_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_oned_operation
增材制造操作,Am_operation,am_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_operation
增材制造简单特征,Am_simple_feature,am_simple_feature,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_simple_feature
增材制造实体,Am_solid,am_solid,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_solid
增材制造二维操作,Am_twod_operation,am_twod_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_twod_operation
增材制造工步,Am_workingstep,am_workingstep,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_workingstep
增材制造工件,Am_workpiece,am_workpiece,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-am_workpiece
接近抬刀路径角,Ap_lift_path_angle,ap_lift_path_angle,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-ap_lift_path_angle
