类别,中文名,英文名,模块,来源,引用次数,官方定义链接
航空 / 航天,受驱动运动副对,Actuated_kinematic_pair,kinematic_structure,ap242,0,https://www.steptools.com/stds/smrl/data/modules/kinematic_structure/sys/4_info_reqs.htm#kinematic_structure_arm.actuated_kinematic_pair
航空 / 航天,装配组件关系,Assembly_component_relationship,assembly_structure,ap242,10,https://www.steptools.com/stds/smrl/data/modules/assembly_structure/sys/4_info_reqs.htm#assembly_structure_arm.assembly_component_relationship
航空 / 航天,装配定义,Assembly_definition,item_definition_structure,ap242,0,https://www.steptools.com/stds/smrl/data/modules/item_definition_structure/sys/4_info_reqs.htm#item_definition_structure_arm.assembly_definition
航空 / 航天,装配关系替换,Assembly_relationship_substitution,product_replacement,ap242,1,https://www.steptools.com/stds/smrl/data/modules/product_replacement/sys/4_info_reqs.htm#product_replacement_arm.assembly_relationship_substitution
航空 / 航天,基本圆孔实例在装配,Basic_round_hole_occurrence_in_assembly,mechanical_design_features_and_requirements,ap242,0,https://www.steptools.com/stds/smrl/data/modules/mechanical_design_features_and_requirements/sys/4_info_reqs.htm#mechanical_design_features_and_requirements_arm.basic_round_hole_occurrence_in_assembly
航空 / 航天,分解,Breakdown,product_breakdown,ap242,0,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown
航空 / 航天,分解上下文,Breakdown_context,product_breakdown,ap242,0,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_context
航空 / 航天,分解元素,Breakdown_element,product_breakdown,ap242,1,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_element
航空 / 航天,分解元素定义,Breakdown_element_definition,product_breakdown,ap242,2,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_element_definition
航空 / 航天,分解元素实现,Breakdown_element_realization,product_breakdown,ap242,1,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_element_realization
航空 / 航天,分解元素用法,Breakdown_element_usage,product_breakdown,ap242,2,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_element_usage
航空 / 航天,分解元素版本,Breakdown_element_version,product_breakdown,ap242,0,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_element_version
航空 / 航天,分解节点关系,Breakdown_node_relationship,specification_control,ap242,0,https://www.steptools.com/stds/smrl/data/modules/specification_control/sys/4_info_reqs.htm#specification_control_arm.breakdown_node_relationship
航空 / 航天,分解的,Breakdown_of,product_breakdown,ap242,0,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_of
