类别,中文名,英文名,模块,来源,引用次数,官方定义链接
CAD（设计 / 建模 / 制图）,绝对值函数,Abs_function,elementary_function,ap242,0,https://www.steptools.com/stds/smrl/data/modules/elementary_function/sys/4_info_reqs.htm#elementary_function_arm.abs_function
CAD（设计 / 建模 / 制图）,吸收剂量数据元素,Absorbed_dose_data_element,value_with_unit_extension,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/4_info_reqs.htm#value_with_unit_extension_arm.absorbed_dose_data_element
CAD（设计 / 建模 / 制图）,加速度数据元素,Acceleration_data_element,value_with_unit_extension,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/4_info_reqs.htm#value_with_unit_extension_arm.acceleration_data_element
CAD（设计 / 建模 / 制图）,反余弦函数,Acos_function,elementary_function,ap242,0,https://www.steptools.com/stds/smrl/data/modules/elementary_function/sys/4_info_reqs.htm#elementary_function_arm.acos_function
CAD（设计 / 建模 / 制图）,活动属性表示,Activity_property_representation,process_property_assignment,ap242,1,https://www.steptools.com/stds/smrl/data/modules/process_property_assignment/sys/4_info_reqs.htm#process_property_assignment_arm.activity_property_representation
CAD（设计 / 建模 / 制图）,附加零件视图定义上下文,Additional_part_view_definition_context,part_view_definition,ap242,0,https://www.steptools.com/stds/smrl/data/modules/part_view_definition/sys/4_info_reqs.htm#part_view_definition_arm.additional_part_view_definition_context
CAD（设计 / 建模 / 制图）,附加视图定义上下文,Additional_view_definition_context,product_view_definition,ap242,1,https://www.steptools.com/stds/smrl/data/modules/product_view_definition/sys/4_info_reqs.htm#product_view_definition_arm.additional_view_definition_context
CAD（设计 / 建模 / 制图）,增材制造构建方向元素,Additive_manufacturing_build_direction_element,additive_manufacturing_part_and_build_information,ap242,0,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_build_direction_element
CAD（设计 / 建模 / 制图）,增材制造X方向元素,Additive_manufacturing_x_direction_element,additive_manufacturing_part_and_build_information,ap242,0,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_x_direction_element
CAD（设计 / 建模 / 制图）,高级边界表示形状表示,Advanced_brep_shape_representation,advanced_boundary_representation,ap242,2,https://www.steptools.com/stds/smrl/data/modules/advanced_boundary_representation/sys/4_info_reqs.htm#advanced_boundary_representation_arm.advanced_brep_shape_representation
CAD（设计 / 建模 / 制图）,高级面,Advanced_face,topologically_bounded_surface,ap242,1,https://www.steptools.com/stds/smrl/data/modules/topologically_bounded_surface/sys/4_info_reqs.htm#topologically_bounded_surface_arm.advanced_face
CAD（设计 / 建模 / 制图）,受影响平面公差区域,Affected_plane_tolerance_zone,geometric_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/geometric_tolerance/sys/4_info_reqs.htm#geometric_tolerance_arm.affected_plane_tolerance_zone
CAD（设计 / 建模 / 制图）,全部绕形状元素,All_around_shape_element,geometric_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/geometric_tolerance/sys/4_info_reqs.htm#geometric_tolerance_arm.all_around_shape_element
CAD（设计 / 建模 / 制图）,全部绕形状元素沿集合平面,All_around_shape_element_along_collection_plane,geometric_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/geometric_tolerance/sys/4_info_reqs.htm#geometric_tolerance_arm.all_around_shape_element_along_collection_plane
CAD（设计 / 建模 / 制图）,交替产品关系,Alternate_product_relationship,product_replacement,ap242,2,https://www.steptools.com/stds/smrl/data/modules/product_replacement/sys/4_info_reqs.htm#product_replacement_arm.alternate_product_relationship
CAD（设计 / 建模 / 制图）,数量的物质数据元素,Amount_of_substance_data_element,value_with_unit_extension,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/4_info_reqs.htm#value_with_unit_extension_arm.amount_of_substance_data_element
CAD（设计 / 建模 / 制图）,数量的物质单位,Amount_of_substance_unit,value_with_unit,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit/sys/4_info_reqs.htm#value_with_unit_arm.amount_of_substance_unit
CAD（设计 / 建模 / 制图）,与表达式,And_expression,numeric_expression,ap242,0,https://www.steptools.com/stds/smrl/data/modules/numeric_expression/sys/4_info_reqs.htm#numeric_expression_arm.and_expression
CAD（设计 / 建模 / 制图）,角数据元素,Angle_data_element,value_with_unit_extension,ap242,29,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/4_info_reqs.htm#value_with_unit_extension_arm.angle_data_element
CAD（设计 / 建模 / 制图）,角加减边界,Angle_plus_minus_bounds,dimension_tolerance,ap242,2,https://www.steptools.com/stds/smrl/data/modules/dimension_tolerance/sys/4_info_reqs.htm#dimension_tolerance_arm.angle_plus_minus_bounds
CAD（设计 / 建模 / 制图）,角锥度,Angle_taper,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.angle_taper
CAD（设计 / 建模 / 制图）,角度位置,Angular_location,dimension_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/dimension_tolerance/sys/4_info_reqs.htm#dimension_tolerance_arm.angular_location
CAD（设计 / 建模 / 制图）,角度尺寸,Angular_size,dimension_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/dimension_tolerance/sys/4_info_reqs.htm#dimension_tolerance_arm.angular_size
CAD（设计 / 建模 / 制图）,倾斜度公差,Angularity_tolerance,geometric_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/geometric_tolerance/sys/4_info_reqs.htm#geometric_tolerance_arm.angularity_tolerance
CAD（设计 / 建模 / 制图）,标注曲线,Annotation_curve,associative_text,ap242,1,https://www.steptools.com/stds/smrl/data/modules/associative_text/sys/4_info_reqs.htm#associative_text_arm.annotation_curve
CAD（设计 / 建模 / 制图）,标注元素,Annotation_element,associative_text,ap242,3,https://www.steptools.com/stds/smrl/data/modules/associative_text/sys/4_info_reqs.htm#associative_text_arm.annotation_element
CAD（设计 / 建模 / 制图）,标注填充面积,Annotation_fill_area,draughting_element,ap242,0,https://www.steptools.com/stds/smrl/data/modules/draughting_element/sys/4_info_reqs.htm#draughting_element_arm.annotation_fill_area
CAD（设计 / 建模 / 制图）,标注实例关联性,Annotation_occurrence_associativity,associative_draughting_elements,ap242,0,https://www.steptools.com/stds/smrl/data/modules/associative_draughting_elements/sys/4_info_reqs.htm#associative_draughting_elements_arm.annotation_occurrence_associativity
