模块,概念数
machining_features,147
kinematic_structure,54
numeric_expression,42
value_with_unit_extension,37
geometric_tolerance,35
tessellated_geometry,25
basic_geometry,24
characteristic,23
mechanical_design_features_and_requirements,23
dimension_tolerance,22
kinematic_motion_representation,22
datum_and_datum_systems,21
primitive_solids,21
value_with_unit,21
elementary_function,20
kinematic_state,19
derived_shape_element,17
elemental_topology,17
pre_defined_product_data_management_specializations,17
elemental_geometric_shape,15
additive_manufacturing_part_and_build_information,14
process_plan,14
draughting_element_specialisations,13
qualified_measure,13
kinematic_topology,12
surface_conditions,12
curve_appearance,11
draughting_element,11
expression,11
product_class,11
scan_data_3d_shape,11
specification_document,11
generic_expression,10
product_breakdown,10
specification_control,10
basic_data_representation,9
foundation_representation,9
general_surface_appearance,9
product_as_individual,9
product_occurrence,9
shape_feature,9
text_appearance,9
appearance_assignment,8
b_spline_geometry,8
contextual_shape_positioning,8
default_tolerance,8
draughting_annotation,8
presentation_hierarchy,8
associative_text,7
extended_measure_representation,7
external_library,7
fill_area_style,7
functional_breakdown,7
generic_material_aspects,7
physical_breakdown,7
shape_property_assignment,7
alternative_solution,6
assembly_structure,6
classification_with_attributes,6
default_setting_association,6
effectivity,6
person_organization,6
property_assignment,6
styled_curve,6
tagged_text_representation,6
approval,5
configuration_item,5
dimension_and_tolerance_callouts,5
file_identification,5
item_definition_structure,5
kinematic_analysis_control_and_result,5
product_view_definition,5
resource_item,5
work_request,5
activity,4
advanced_boundary_representation,4
basic_curve,4
basic_geometric_topology,4
camera_view_3d,4
colour,4
date_time,4
document_definition,4
document_properties,4
extended_date,4
geometrically_bounded_surface,4
information_rights,4
manufacturing_configuration_effectivity,4
measure_representation,4
mechanical_design_presentation_representation_with_draughting,4
model_based_3d_geometrical_dimensioning_and_tolerancing_representation,4
numeric_function,4
requirement_view_definition_relationship,4
work_order,4
associative_draughting_elements,3
characterized_representation,3
class,3
composite_surface,3
contract,3
event,3
extended_basic_geometry,3
external_item_identification_assignment,3
external_representation_item,3
manifold_surface,3
mechanical_design_shaded_presentation,3
multi_linguism,3
part_shape,3
part_view_definition,3
process_property_assignment,3
product_categorization,3
product_placement,3
product_view_definition_reference,3
project,3
requirement_assignment,3
requirement_identification_and_version,3
shape_composition,3
time_interval,3
activity_method_assignment,2
certification,2
classification_assignment,2
construction_geometry,2
design_product_data_management,2
document_and_version_identification,2
document_assignment,2
document_structure,2
effectivity_application,2
external_class,2
external_properties,2
feature_and_connection_zone,2
geometric_model_relationship,2
group,2
independent_property,2
layer_assignment,2
mechanical_design_geometric_presentation,2
parametric_representation,2
part_and_version_identification,2
part_collection,2
part_definition_relationship,2
product_concept_identification,2
product_replacement,2
product_version_relationship,2
product_view_definition_relationship,2
requirement_view_definition,2
security_classification,2
specified_product,2
time_interval_assignment,2
activity_method,1
alias_identification,1
attribute_classification,1
characterizable_object,1
compound_shape_representation,1
configuration_effectivity,1
curve_swept_solid,1
date_time_assignment,1
edge_based_wireframe,1
elementary_boundary_representation,1
event_assignment,1
external_model,1
external_source,1
faceted_boundary_representation,1
geometric_validation_property_representation,1
geometrically_bounded_wireframe,1
identification_assignment,1
incomplete_data_reference_mechanism,1
independent_property_representation,1
management_resource_information,1
manifold_subsurface,1
name_assignment,1
non_manifold_surface,1
person_organization_assignment,1
plib_class_reference,1
product_identification,1
product_structure,1
product_version,1
property_as_definition,1
representation_with_uncertainty,1
retention_period,1
shell_based_wireframe,1
solid_model,1
specification_based_configuration,1
test_select_product,1
topologically_bounded_surface,1
vertex_colours_for_tessellated_geometry,1
