类别,中文名,英文名,模块,来源,引用次数,官方定义链接
领域专家（业务 / 管理）,活动,Activity,activity,ap242,9,https://www.steptools.com/stds/smrl/data/modules/activity/sys/4_info_reqs.htm#activity_arm.activity
领域专家（业务 / 管理）,活动方法,Activity_method,activity_method,ap242,4,https://www.steptools.com/stds/smrl/data/modules/activity_method/sys/4_info_reqs.htm#activity_method_arm.activity_method
领域专家（业务 / 管理）,活动方法赋值,Activity_method_assignment,work_request,ap242,2,https://www.steptools.com/stds/smrl/data/modules/work_request/sys/4_info_reqs.htm#work_request_arm.activity_method_assignment
领域专家（业务 / 管理）,活动方法关系,Activity_method_relationship,activity_method_assignment,ap242,0,https://www.steptools.com/stds/smrl/data/modules/activity_method_assignment/sys/4_info_reqs.htm#activity_method_assignment_arm.activity_method_relationship
领域专家（业务 / 管理）,活动属性,Activity_property,process_property_assignment,ap242,3,https://www.steptools.com/stds/smrl/data/modules/process_property_assignment/sys/4_info_reqs.htm#process_property_assignment_arm.activity_property
领域专家（业务 / 管理）,活动属性表示,Activity_property_representation,process_property_assignment,ap242,1,https://www.steptools.com/stds/smrl/data/modules/process_property_assignment/sys/4_info_reqs.htm#process_property_assignment_arm.activity_property_representation
领域专家（业务 / 管理）,活动关系,Activity_relationship,activity,ap242,2,https://www.steptools.com/stds/smrl/data/modules/activity/sys/4_info_reqs.htm#activity_arm.activity_relationship
领域专家（业务 / 管理）,活动状态,Activity_status,activity,ap242,0,https://www.steptools.com/stds/smrl/data/modules/activity/sys/4_info_reqs.htm#activity_arm.activity_status
领域专家（业务 / 管理）,受驱动运动副对,Actuated_kinematic_pair,kinematic_structure,ap242,0,https://www.steptools.com/stds/smrl/data/modules/kinematic_structure/sys/4_info_reqs.htm#kinematic_structure_arm.actuated_kinematic_pair
领域专家（业务 / 管理）,附加零件视图定义上下文,Additional_part_view_definition_context,part_view_definition,ap242,0,https://www.steptools.com/stds/smrl/data/modules/part_view_definition/sys/4_info_reqs.htm#part_view_definition_arm.additional_part_view_definition_context
领域专家（业务 / 管理）,附加视图定义上下文,Additional_view_definition_context,product_view_definition,ap242,1,https://www.steptools.com/stds/smrl/data/modules/product_view_definition/sys/4_info_reqs.htm#product_view_definition_arm.additional_view_definition_context
领域专家（业务 / 管理）,增材制造构建方向元素,Additive_manufacturing_build_direction_element,additive_manufacturing_part_and_build_information,ap242,0,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_build_direction_element
领域专家（业务 / 管理）,增材制造定向元素,Additive_manufacturing_orientation_element,additive_manufacturing_part_and_build_information,ap242,0,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_orientation_element
领域专家（业务 / 管理）,增材制造零件定义,Additive_manufacturing_part_definition,additive_manufacturing_part_and_build_information,ap242,0,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_part_definition
领域专家（业务 / 管理）,增材制造设置,Additive_manufacturing_setup,additive_manufacturing_part_and_build_information,ap242,1,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_setup
领域专家（业务 / 管理）,增材制造设置构建板,Additive_manufacturing_setup_build_plate,additive_manufacturing_part_and_build_information,ap242,1,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_setup_build_plate
领域专家（业务 / 管理）,增材制造支持结构,Additive_manufacturing_support_structure,additive_manufacturing_part_and_build_information,ap242,0,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_support_structure
领域专家（业务 / 管理）,增材制造支持结构设置,Additive_manufacturing_support_structure_setup,additive_manufacturing_part_and_build_information,ap242,1,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/4_info_reqs.htm#additive_manufacturing_part_and_build_information_arm.additive_manufacturing_support_structure_setup
